epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,600.479,1.05599,0.69721,1.0571,0.74194,0.60438,0.70142,0.45119,1.40826,1.0552,1.15166,0.000615781,0.000615781,0.000615781
43,614.754,0.99564,0.67991,1.01445,0.75851,0.58801,0.69867,0.45052,1.42623,1.085,1.16282,0.000600313,0.000600313,0.000600313
44,628.49,0.97198,0.67118,1.04389,0.74858,0.60035,0.70378,0.45467,1.43193,1.0711,1.16905,0.000584844,0.000584844,0.000584844
45,642.486,0.97623,0.65912,1.02961,0.78565,0.5819,0.71848,0.46547,1.42477,1.02027,1.17008,0.000569375,0.000569375,0.000569375
46,656.411,1.03179,0.64611,1.0297,0.67666,0.69399,0.7318,0.46666,1.43697,0.99462,1.17168,0.000553906,0.000553906,0.000553906
47,670.884,0.98046,0.59989,1.02595,0.70383,0.65302,0.72963,0.46048,1.44415,1.00698,1.17379,0.000538438,0.000538438,0.000538438
48,685.931,0.99256,0.63635,1.02366,0.69132,0.68576,0.72799,0.46864,1.42315,1.01941,1.16366,0.000522969,0.000522969,0.000522969
49,699.448,1.03001,0.63315,1.03281,0.76014,0.5678,0.71881,0.4609,1.41749,1.04553,1.15738,0.0005075,0.0005075,0.0005075
50,713.556,1.00528,0.61749,1.01339,0.80449,0.58345,0.72023,0.44445,1.45722,1.06245,1.16357,0.000492031,0.000492031,0.000492031
51,727.697,0.9703,0.60676,1.00869,0.78231,0.58655,0.71365,0.44075,1.47196,1.0706,1.16671,0.000476562,0.000476562,0.000476562
52,742.009,0.96814,0.628,1.01126,0.78377,0.58667,0.72418,0.45296,1.45197,1.07728,1.15993,0.000461094,0.000461094,0.000461094
53,756.184,0.98005,0.64184,1.02951,0.70649,0.62157,0.71495,0.4503,1.44381,1.09059,1.15863,0.000445625,0.000445625,0.000445625
54,770.779,0.97493,0.64923,1.03224,0.70976,0.63136,0.70448,0.4519,1.42747,1.13092,1.15948,0.000430156,0.000430156,0.000430156
